Bimodal
Trace                 ,Branch Prediction Accuracy ,MPKI    ,Heartbeat IPC , Simulation Time (in sec)
400.perlbench-41B     ,95.4821                    ,9.4899  ,0.56879       ,    43   
416.gamess-875B       ,92.4031                    ,7.9034  ,1.2479        ,   30
444.namd-23B          ,94.3747                    ,1.9714  ,1.89857       ,   29
453.povray-800B       ,93.7296                    ,9.3486  ,0.800216      ,   37    
454.calculix-104B     ,72.2378                    ,25.0141 ,1.25263       ,  26 
600.perlbench_s-1273B ,97.6957                    ,3.101   ,1.48064       ,   30
603.bwaves_s-3699B    ,87.3075                    ,18.3908 ,1.26756       ,  22     
603.bwaves_s-5359B    ,87.5014                    ,18.0166 ,1.27248       ,   22    
607.cactuBSSN_s-4248B ,87.4454                    ,14.7823 ,1.35522       ,  26 
638.imagick_s-824B    ,99.8229                    ,0.2858  ,1.29461       ,   45
648.exchange2_s-1227B ,87.1964                    ,19.9803 ,1.24195       ,28   
648.exchange2_s-1699B ,84.0343                    ,21.5909 ,1.44184       ,  26 
649.fotonik3d_s-1B    ,96.145                     ,9.1661  ,1.05402       ,   36
654.roms_s-1021B      ,81.4508                    ,30.1189 ,1.0331        ,   29
657.xz_s-56B          ,96.8755                    ,0.6275  ,1.74998       ,   23
