Bimodal
Trace                 ,Branch Prediction Accuracy ,MPKI    ,Heartbeat IPC , Simulation Time (in sec)
400.perlbench-41B     ,94.7602                    ,11.0063 ,0.574998      ,54  
416.gamess-875B       ,95.555                     ,4.6243  ,1.31652       ,36
444.namd-23B          ,94.9748                    ,1.7611  ,1.91839       ,32
453.povray-800B       ,96.2585                    ,5.5782  ,0.841014      ,42  
454.calculix-104B     ,96.8821                    ,2.8093  ,2.02694       ,28
600.perlbench_s-1273B ,98.3702                    ,2.1933  ,1.52813       ,36
603.bwaves_s-3699B    ,93.5412                    ,9.3584  ,1.38829       ,25  
603.bwaves_s-5359B    ,93.5709                    ,9.2674  ,1.38791       ,25 
607.cactuBSSN_s-4248B ,99.9636                    ,0.0429  ,2.08473       ,28
638.imagick_s-824B    ,99.8989                    ,0.1631  ,1.29713       ,36
648.exchange2_s-1227B ,94.9086                    ,7.9453  ,1.50155       ,24
648.exchange2_s-1699B ,95.809                     ,5.6677  ,1.86324       ,22
649.fotonik3d_s-1B    ,98.2442                    ,4.1747  ,1.19473       ,35
654.roms_s-1021B      ,97.92                      ,3.3774  ,1.44391       ,26
657.xz_s-56B          ,97.9172                    ,0.4183  ,1.75294       ,23
