Bimodal
Trace                 ,Branch Prediction Accuracy ,MPKI   ,Heartbeat IPC , Simulation Time (in sec)
400.perlbench-41B     ,98.3934                    ,3.3747 ,0.627259      ,55     
416.gamess-875B       ,98.7322                    ,1.3189 ,1.43213       ,39   
444.namd-23B          ,95.7081                    ,1.5041 ,1.93345       ,34   
453.povray-800B       ,99.6683                    ,0.4946 ,0.936047      ,50     
454.calculix-104B     ,99.6659                    ,0.301  ,2.16235       ,29   
600.perlbench_s-1273B ,99.2754                    ,0.9751 ,1.61901       ,41   
603.bwaves_s-3699B    ,99.8971                    ,0.1491 ,1.60755       ,25     
603.bwaves_s-5359B    ,99.8845                    ,0.1665 ,1.60249       ,26    
607.cactuBSSN_s-4248B ,99.9636                    ,0.0429 ,2.08473       ,28   
638.imagick_s-824B    ,99.9395                    ,0.0976 ,1.29861       ,37   
648.exchange2_s-1227B ,98.0109                    ,3.104  ,1.67587       ,26   
648.exchange2_s-1699B ,99.1991                    ,1.0831 ,2.14195       ,23   
649.fotonik3d_s-1B    ,99.8778                    ,0.2906 ,1.27559       ,44   
654.roms_s-1021B      ,99.8879                    ,0.1821 ,1.65904       ,28   
657.xz_s-56B          ,100%                       ,0      ,1.79186       ,25   
