Bimodal
Trace                 ,Branch Prediction Accuracy ,MPKI   ,Heartbeat IPC , Simulation Time (in sec)
400.perlbench-41B     ,97.8238                    ,4.5711 ,0.61795       ,   41  
416.gamess-875B       ,98.3715                    ,1.6942 ,1.4175        ,   33
444.namd-23B          ,95.6822                    ,1.5132 ,1.93307       ,   27
453.povray-800B       ,99.2944                    ,1.052  ,0.926978      ,   44  
454.calculix-104B     ,98.9883                    ,0.9116 ,2.11951       ,   26
600.perlbench_s-1273B ,99.1352                    ,1.1638 ,1.6007        ,    34
603.bwaves_s-3699B    ,99.5945                    ,0.5875 ,1.57825       ,   24  
603.bwaves_s-5359B    ,99.5906                    ,0.5902 ,1.57232       ,   22 
607.cactuBSSN_s-4248B ,99.9636                    ,0.0429 ,2.08473       ,   26
638.imagick_s-824B    ,99.8965                    ,0.167  ,1.29726       ,    34
648.exchange2_s-1227B ,97.7628                    ,3.4912 ,1.6604        ,    22
648.exchange2_s-1699B ,98.5456                    ,1.9668 ,2.07471       ,   20
649.fotonik3d_s-1B    ,99.8687                    ,0.3123 ,1.27479       ,   37
654.roms_s-1021B      ,99.5923                    ,0.662  ,1.60527       ,    25
657.xz_s-56B          ,100                        ,0      ,1.79186       ,   21
