Bimodal
Trace                 ,Branch Prediction Accuracy ,MPKI   ,Heartbeat IPC , Simulation Time (in sec)
400.perlbench-41B     ,  96.3003                               ,7.7712       ,0.597221           ,48             
416.gamess-875B       ,  97.8550                               ,2.2315       ,1.39895           , 37        
444.namd-23B          ,  95.5001                               ,1.5770       ,1.92972           , 34        
453.povray-800B       ,  99.0607                               ,1.4005       ,0.919699           ,44             
454.calculix-104B     ,  98.9894                               ,0.9106       ,2.12058           , 28        
600.perlbench_s-1273B ,  99.1144                               ,1.1918       ,1.59976           , 38            
603.bwaves_s-3699B    ,  95.5338                               ,6.4713       ,1.46267           , 24            
603.bwaves_s-5359B    ,  95.4584                               ,6.5467       ,1.4562           ,  22           
607.cactuBSSN_s-4248B ,  99.9636                               ,0.0429       ,2.08473           , 28        
638.imagick_s-824B    ,  99.8982                               ,0.1643       ,1.29726           , 38            
648.exchange2_s-1227B ,  96.8787                               ,4.8708       ,1.60525           , 25            
648.exchange2_s-1699B ,  98.0975                               ,2.5728       ,2.03418           , 21        
649.fotonik3d_s-1B    ,  99.8689                               ,0.3117       ,1.27479           , 36        
654.roms_s-1021B      ,  99.5272                               ,0.7677       ,1.59639           , 24            
657.xz_s-56B          ,  99.9995                               ,0.0001       ,1.79185           , 22        
