Traces                ,Branch Prediction Accuracy ,MPKI   ,Heartbeat IPC , Simulation Time (in Sec)
400.perlbench-41B     ,98.0298                    ,4.1385 ,0.621028      , 40                                                                                    
416.gamess-875B       ,98.4672                    ,1.5946 ,1.42154       , 33                                        
444.namd-23B          ,95.5854                    ,1.5471 ,1.9308        , 28                                     
453.povray-800B       ,99.2605                    ,1.1026 ,0.925518      , 40                                         
454.calculix-104B     ,98.9884                    ,0.9115 ,2.11958       , 26                                          
600.perlbench_s-1273B ,99.1107                    ,1.1968 ,1.59932       , 33                                              
603.bwaves_s-3699B    ,99.7322                    ,0.3881 ,1.58442       , 24                                            
603.bwaves_s-5359B    ,99.7259                    ,0.3951 ,1.57908       , 22                                            
607.cactuBSSN_s-4248B ,99.9636                    ,0.0429 ,2.08473       , 25                                              
638.imagick_s-824B    ,99.9078                    ,0.1488 ,1.29753       , 35                                            
648.exchange2_s-1227B ,97.8084                    ,3.4201 ,1.66174       , 24                                              
648.exchange2_s-1699B ,98.572                     ,1.9312 ,2.07767       , 23                                            
649.fotonik3d_s-1B    ,99.8687                    ,0.3121 ,1.27475       , 42                                            
654.roms_s-1021B      ,99.6055                    ,0.6405 ,1.60681       , 24                                          
657.xz_s-56B          ,100                        ,0      ,1.79186       , 21                            
