Bimodal
Trace                 ,Branch Prediction Accuracy ,MPKI   ,Heartbeat IPC , Simulation Time (in sec)
400.perlbench-41B     ,97.1577         , 5.9702                 ,  0.608282         ,42
416.gamess-875B       ,98.3001         , 1.7685                 ,  1.41641         , 33       
444.namd-23B          ,95.5832         , 1.5479                 ,  1.93111         , 29       
453.povray-800B       ,99.2233         , 1.1581                 ,  0.924393         ,40
454.calculix-104B     ,98.9888         , 0.9111                 ,  2.11989         , 25       
600.perlbench_s-1273B ,99.1005         , 1.2105                 ,  1.59842         , 32           
603.bwaves_s-3699B    ,99.701         ,  0.4333                 ,  1.58187         , 22           
603.bwaves_s-5359B    ,99.6835         , 0.4562                 ,  1.57483         , 23          
607.cactuBSSN_s-4248B ,99.9636         , 0.0429                 ,  2.08473         , 29       
638.imagick_s-824B    ,99.9052         , 0.1529                 ,  1.29753         , 33           
648.exchange2_s-1227B ,97.4471         , 3.9839                 ,  1.63821         , 22           
648.exchange2_s-1699B ,98.51         ,   2.015                   , 2.07211          ,19        
649.fotonik3d_s-1B    ,99.8685         , 0.3126                 ,  1.27478         , 42       
654.roms_s-1021B      ,99.605         ,  0.6413                ,   1.60689        ,  26          
657.xz_s-56B          ,100          ,   0                     ,   1.79186        ,  21      
